2024-07-31 13:47:34 INFO  MyClass:24 - This is an info message
2024-07-31 13:58:11 INFO  StartVerification:24 - This is an info message
2024-07-31 13:58:25 INFO  StartVerification:24 - This is an info message
2024-07-31 15:31:07 INFO  StartVerification:24 - This is an info message
2024-08-08 16:08:02 ERROR riot:120 - [line: 103, col: 1 ] Les structures de document XML doivent commencer et se terminer dans la même entité.
2024-08-28 11:18:17 ERROR riot:120 - [line: 14, col: 3 ] Le type d'élément "rdf:RDF" doit être suivi des spécifications d'attribut, ">" ou "/>".
2024-08-28 18:07:28 WARN  riot:114 - [line: 3144849, col: 218] {W131} String not in Unicode Normal Form C: "??????????????????? ???????????, ????????? ??? ???????????? ?????? ??? ?????? ?????????????????????????????????????? ??? ?????????????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3144918, col: 127] {W131} String not in Unicode Normal Form C: "???????????????????????????????????????????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3144976, col: 186] {W131} String not in Unicode Normal Form C: "??????????????? ?????????????????????????????????; ????????????? ??????????????????  ??? <36587>"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145281, col: 216] {W131} String not in Unicode Normal Form C: "????????????? ???????, ??????? ??? ??????? ????????????? ??????????????????? ??????????????????????????????????????? ??????????????."
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145762, col: 184] {W131} String not in Unicode Normal Form C: "????????? ??? ???????????????????? ??? ???; ?????????????????????? ????????????? ?????? <2617>"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145800, col: 101] {W131} String not in Unicode Normal Form C: "Isscaap ???? b-81"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145817, col: 101] {W131} String not in Unicode Normal Form C: "Isscaap ???? b-81"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145834, col: 101] {W131} String not in Unicode Normal Form C: "Isscaap ???? b-81"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3145847, col: 170] {W131} String not in Unicode Normal Form C: "Isscaap ???? b-83; ?????????????????? ??? <5581> ??? ??????????????? ???????????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3146149, col: 155] {W131} String not in Unicode Normal Form C: "??????????????????????????????????????????????? ??? ???????????? ??????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3146534, col: 137] {W131} String not in Unicode Normal Form C: "???????? ????????? ??? ??????????????????????????????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3146689, col: 168] {W131} String not in Unicode Normal Form C: "???????????????????????; ?????????????????????????????????????? ?????? <34238>"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3146813, col: 211] {W131} String not in Unicode Normal Form C: "?????????????????, ???????????, ??? ??????????????????????????; ??????????????????????? ????????????????? ???????? <5997>"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3147058, col: 114] {W131} String not in Unicode Normal Form C: "?????????????????? ??? ???????"
2024-08-28 18:07:28 WARN  riot:114 - [line: 3147075, col: 204] {W131} String not in Unicode Normal Form C: "???????????????????????????? ??? ????????????????; ?????????????? ?????? ????? ????????????????? (ELECTRICAL PROPERTIES)"
